sector,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,POB0_14,POB15_64,POB65_MAS,PNACENT,PNACENT_F,PNACENT_M,PNACOE,PNACOE_F,PNACOE_M,PRES2015,PRES2015_F,PRES2015_M,PRESOE15,PRESOE15_F,PRESOE15_M,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M,P3HLINHE,P3HLINHE_F,P3HLINHE_M,P3HLI_HE,P3HLI_HE_F,P3HLI_HE_M,P5_HLI,P5_HLI_NHE,P5_HLI_HE,PHOG_IND,POB_AFRO,POB_AFRO_F,POB_AFRO_M,PCON_DISC,PCDISC_MOT,PCDISC_VIS,PCDISC_LENG,PCDISC_AUD,PCDISC_MOT2,PCDISC_MEN,PCON_LIMI,PCLIM_CSB,PCLIM_VIS,PCLIM_HACO,PCLIM_OAUD,PCLIM_MOT2,PCLIM_RE_CO,PCLIM_PMEN,PSIND_LIM,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P15A17A,P15A17A_F,P15A17A_M,P18A24A,P18A24A_F,P18A24A_M,P8A14AN,P8A14AN_F,P8A14AN_M,P15YM_AN,P15YM_AN_F,P15YM_AN_M,P15YM_SE,P15YM_SE_F,P15YM_SE_M,P15PRI_IN,P15PRI_INF,P15PRI_INM,P15PRI_CO,P15PRI_COF,P15PRI_COM,P15SEC_IN,P15SEC_INF,P15SEC_INM,P15SEC_CO,P15SEC_COF,P15SEC_COM,P18YM_PB,P18YM_PB_F,P18YM_PB_M,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M,PSINDER,PDER_SS,PDER_IMSS,PDER_ISTE,PDER_ISTEE,PAFIL_PDOM,PDER_SEGP,PDER_IMSSB,PAFIL_IPRIV,PAFIL_OTRAI,P12YM_SOLT,P12YM_CASA,P12YM_SEPA,PCATOLICA,PRO_CRIEVA,POTRAS_REL,PSIN_RELIG,TOTHOG,HOGJEF_F,HOGJEF_M,POBHOG,PHOGJEF_F,PHOGJEF_M,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,VPH_PISODT,VPH_PISOTI,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC
C-1.1,20318,10416,9902,580,301,277,19727,10105,9622,19280,9858,9422,17868,9145,8723,17169,8805,8364,16420,8408,8012,650,357,290,1207,603,604,1524,764,760,699,340,357,749,397,352,2017,1029,988,5736,3116,1786,1330,3139,15043,2126,13269,6796,6473,5163,2721,2442,15556,8085,7471,1083,499,582,627,318,304,11,11,0,602,300,297,621,11,596,1258,559,270,285,1173,556,526,102,213,148,207,2968,862,1933,156,627,124,669,339,15948,198,111,87,89,53,32,61,22,32,569,306,261,936,505,429,21,13,7,215,145,63,388,227,159,499,335,161,1139,711,427,446,212,231,2501,1300,1201,11621,5693,5928,12762,5787,6975,5008,3338,1670,12531,5666,6865,229,118,106,6269,13958,7264,3521,36,551,1646,17,1919,201,7562,7790,2456,13231,1621,241,5102,6349,2892,3457,17627,8130,9497,8063,6356,7475,5768,6261,6349,1278,429,17627,6252,3,2088,4173,394,790,5077,6252,3,6212,6192,48,5568,5603,6231,0,6253,4,6202,0,6228,4344,10,5948,5081,4169,1736,372,1649,4476,5750,4179,4264,5844,4976,2498,2433,1301,249,156,1021,24
C-1.2,47337,23857,23480,1023,533,488,46305,23315,22990,45542,22952,22590,43203,21818,21385,42182,21314,20868,41129,20756,20373,1113,532,577,1989,961,1026,2334,1110,1224,1021,504,515,1053,558,494,3536,1764,1772,13920,7898,4509,3389,5146,36776,5406,32069,16080,15989,12072,6326,5746,39837,20161,19676,4054,2029,2025,572,288,278,0,0,0,567,285,276,569,0,564,1058,1512,770,742,1757,900,729,172,406,289,310,5080,1588,3168,211,1192,283,1081,761,39945,257,129,121,123,46,66,70,31,25,919,497,417,1925,965,960,20,4,12,164,124,30,258,172,76,636,458,175,1302,829,467,468,231,225,2965,1632,1333,35643,17446,18197,32856,15198,17658,10211,6583,3628,32304,14983,17321,550,210,337,9757,37473,24891,5223,58,780,1906,170,6821,435,19064,18594,5458,31028,2730,488,12888,20695,8746,11949,47091,19404,27687,25364,20715,23505,18856,20658,20695,2707,1941,47091,20636,4,7662,12984,708,1876,18062,20649,0,20642,20549,6,18667,18796,20609,0,20648,0,20641,0,20602,9380,26,20192,17554,16112,10791,1651,5657,16682,19531,16968,15643,19942,18598,11772,12734,5965,457,187,1518,33
C-1.3,136993,72014,64979,3605,1769,1836,133382,70242,63140,130472,68791,61681,120014,63690,56324,115191,61351,53840,110364,59041,51323,4303,2149,2154,9065,4403,4662,11046,5397,5649,4823,2337,2484,4827,2310,2517,13531,6791,6740,37922,23645,14056,9589,21796,99082,16109,109835,56998,52837,24959,13956,11003,123422,65215,58207,5965,3088,2877,1937,978,956,7,0,0,1904,959,943,1926,7,1893,3861,2679,1365,1314,7317,3810,3078,792,1737,1202,1112,17991,5629,12345,857,3801,925,3165,2133,110392,1148,555,591,463,203,244,320,133,174,4040,1966,2074,6316,3221,3095,156,54,75,1124,777,343,1483,1024,457,3006,1995,1011,8862,5549,3313,2637,1294,1343,18897,9819,9078,76575,39501,37074,82662,39267,43395,37047,24293,12754,80871,38557,42314,1789,709,1078,40685,96009,63076,19335,137,564,10459,341,3029,1060,51123,50703,17954,98728,10258,997,26544,47256,21902,25354,136599,62046,74553,52530,47268,47540,42278,47114,47256,3788,1474,136599,47033,36,12938,34167,1197,3833,42075,47086,8,47076,47027,14,41783,41645,47058,0,47088,11,47044,0,47055,29533,69,45300,39721,32484,16109,3534,10344,36979,45031,30285,32965,43866,37228,24330,19180,10358,927,1129,8113,144
C-1.4,104707,55165,49542,2929,1462,1467,101753,53691,48062,99463,52564,46899,91519,48668,42851,87887,46905,40982,84161,45032,39129,3434,1698,1736,6800,3325,3475,8291,4023,4268,3632,1763,1869,3726,1873,1853,10392,5170,5222,28868,18540,10949,7591,16795,75207,12680,80885,42017,38868,22089,12353,9736,92894,49332,43562,5687,2830,2857,1499,805,694,0,0,0,1485,794,691,1498,0,1484,3353,4058,2107,1951,6142,3043,2720,723,1294,966,1002,14146,4529,9112,683,2976,579,2708,1826,83404,803,396,407,356,148,199,246,103,132,3093,1572,1521,5049,2503,2546,91,31,55,995,750,245,1199,859,340,2454,1682,772,6619,4139,2480,2021,987,1034,14324,7610,6714,58585,30061,28524,62165,29686,32479,28969,18867,10102,60854,29154,31700,1311,532,779,27139,77376,50617,15495,125,899,8645,175,2868,698,38187,38782,14413,74487,7652,820,21525,36260,16819,19441,103882,47118,56764,41921,36306,39531,33916,36182,36260,4049,1566,103882,36107,52,10093,26078,1263,2340,32561,36153,9,36152,36102,12,32357,29088,36111,0,36150,20,36121,0,36112,22549,72,34538,30147,24671,12488,2622,8038,27773,34532,23012,25528,33807,28311,16852,14778,8244,745,760,6337,131
C-1.5,38508,19943,18565,1384,693,691,37118,19247,17871,36104,18710,17394,32392,16855,15537,30638,15991,14647,28935,15151,13784,1515,775,740,3211,1617,1594,3941,1958,1983,1754,864,890,1703,840,863,4403,2114,2289,10338,5636,3231,2405,7864,26838,3800,28787,14701,14086,9330,5083,4247,34411,17932,16479,1432,689,743,1626,819,807,9,3,0,1595,801,794,1624,9,1593,3393,838,425,413,2352,1158,1025,275,516,347,347,5069,1643,3450,332,1117,290,936,724,30646,492,264,228,175,105,70,140,58,78,1228,612,616,1532,789,743,59,20,26,592,419,173,866,593,273,1579,956,623,4022,2338,1684,1245,587,658,7914,3884,4030,14060,7110,6950,23088,10732,12356,9133,6066,3067,22700,10592,12108,388,140,248,17279,21118,10888,2866,26,165,6488,169,374,376,13740,13531,5039,27196,3941,304,6939,11705,5283,6422,38292,17239,21053,13847,11713,12852,10718,11651,11705,1267,867,38292,11633,11,3781,7869,746,1496,9407,11644,3,11627,11600,18,10524,9790,11560,0,11611,35,11587,0,11557,9491,37,10400,8623,6065,1632,838,2831,8833,10873,5047,6987,10587,7732,2880,2703,1790,319,428,3437,72
C-1.6,32460,17180,15280,1263,653,610,31196,16526,14670,30205,16022,14183,26832,14329,12503,25324,13576,11748,23846,12880,10966,1530,781,749,2834,1416,1418,3421,1688,1733,1508,753,755,1478,696,782,3667,1881,1786,8834,4593,2698,1895,7135,22248,3076,27738,14502,13236,4569,2608,1961,29285,15556,13729,838,434,404,708,370,338,3,0,3,698,365,333,705,3,695,1648,679,362,317,2105,1051,991,271,463,367,347,4977,1560,3494,342,1048,248,966,499,25126,439,224,215,154,74,80,160,75,85,1031,508,523,1063,567,496,50,19,30,375,269,106,481,325,156,1215,772,443,3501,2074,1427,1430,688,742,7098,3713,3385,10740,5543,5197,18997,9038,9959,7787,5267,2520,18685,8903,9782,312,135,177,13821,18613,9019,2679,20,73,6632,39,235,136,10693,11592,4535,23654,3359,238,5160,9853,4815,5038,32406,15942,16464,11302,9855,10582,9135,9802,9853,1267,180,32406,9781,16,2356,7443,309,1022,8468,9787,11,9791,9774,4,9065,8907,9775,0,9792,4,9775,0,9773,7575,26,9022,7877,5737,1594,1001,2403,6996,9417,3589,5467,8770,5912,2730,2038,1629,203,489,3479,49
C-1.7,69003,35159,33844,1310,652,658,67688,34505,33183,66642,34008,32634,63570,32486,31084,62318,31896,30422,60965,31238,29727,1514,727,787,2604,1292,1312,2972,1426,1546,1252,590,662,1353,657,695,4782,2413,2369,20177,12865,7553,5312,6680,53166,9152,46474,23326,23148,16017,8692,7325,58214,29837,28377,4677,2359,2318,1248,695,552,3,0,0,1232,684,547,1230,3,1214,1983,1858,899,959,2641,1340,1115,337,627,531,470,6441,2403,3489,381,1714,494,1497,1254,58926,331,158,162,172,66,89,107,36,49,1175,581,593,2560,1284,1276,33,12,3,313,230,49,548,367,171,856,592,261,2086,1358,728,518,278,228,3905,2196,1709,53142,26374,26768,48693,22869,25824,14703,9544,5159,47806,22483,25323,885,380,500,15185,53664,30967,7084,85,420,1682,199,16574,793,28792,26366,8258,40861,3295,1349,23146,30408,13089,17319,68622,28733,39889,36948,30434,32088,25574,30302,30408,4002,2512,68622,30268,15,11123,19178,1108,2710,26483,30296,0,30279,30246,18,28114,26933,30252,0,30287,10,30262,0,30247,12570,19,29642,25892,23698,17094,2821,9304,23694,28262,25941,22816,29263,27865,19367,19661,8037,796,269,1847,56
C-1.8,96558,51199,45359,2426,1219,1196,94124,49974,44150,92078,48985,43093,85063,45559,39504,81640,43803,37837,78204,42129,36075,3053,1489,1558,6007,2918,3085,7494,3731,3761,3421,1756,1660,3434,1668,1758,9434,4710,4722,26282,17514,10363,7151,14913,69698,11940,79099,41437,37662,16399,9248,7151,87028,46434,40594,4516,2306,2207,841,450,373,0,0,0,833,443,372,839,0,831,1904,2592,1337,1247,5636,2837,2501,579,1276,827,859,12320,4024,7883,522,2919,532,2392,1527,77851,654,331,312,283,120,139,225,92,113,2871,1417,1444,4668,2380,2285,67,18,33,595,431,148,832,579,234,1825,1240,574,5785,3610,2172,1666,763,891,12917,6826,6091,56043,29213,26830,56141,26560,29581,28816,18960,9856,54428,25914,28514,1710,642,1063,23665,72830,48744,14713,47,608,7414,231,2264,576,35103,36572,13360,69811,7380,830,18403,33940,15174,18765,96457,40970,55485,37931,33946,35470,31485,33875,33940,2937,1041,96457,33776,74,7399,26467,564,2170,31120,33859,3,33847,33771,18,24678,26136,33814,9,33844,24,33819,0,33812,19876,28,32795,28953,24278,12974,2329,7526,26229,32754,21941,24531,31478,27058,17577,13513,7891,493,685,5521,75
N-1.1,140609,74162,66447,3487,1679,1808,137067,72453,64614,134174,71032,63142,123284,65694,57590,118123,63183,54940,112324,60295,52029,4456,2190,2266,9327,4569,4758,11488,5602,5886,5161,2511,2650,5799,2888,2911,14561,7187,7374,35171,28771,16762,12009,22431,97572,20551,120543,62593,57950,19567,11338,8229,130012,68878,61134,3909,2057,1852,649,338,291,0,0,0,631,333,276,647,0,630,1709,1873,966,904,8885,4834,3459,1106,2316,1728,1673,18235,6788,10872,1009,4826,1051,4066,2320,112419,1073,515,554,400,172,203,337,113,183,4886,2457,2429,7223,3578,3645,105,32,55,1324,937,380,1726,1195,530,3957,2614,1343,10662,6489,4173,2831,1243,1588,21809,11189,10620,72863,37838,35025,73242,32943,40299,49836,32648,17188,71250,32202,39048,1992,741,1251,35512,104983,66650,21000,279,797,14655,167,2268,843,48202,53828,21209,112756,10568,589,16509,38262,15853,22409,140604,55983,84621,40461,38264,39244,37047,38230,38262,1682,508,140604,38019,162,7933,30278,1301,2840,34069,38196,0,38080,37792,115,35257,27662,38140,0,38178,23,38044,0,38136,18256,18,36679,32989,25934,18990,2997,10241,30169,37361,22541,28778,34597,29259,17797,11456,7080,354,902,7406,58
N-1.2,273205,140272,132933,10562,5162,5400,262625,135101,127524,254399,131136,123263,224697,116385,108312,211329,109680,101649,197857,103069,94788,12465,6077,6388,25463,12639,12824,30664,15310,15354,13368,6705,6663,13472,6611,6861,31899,15769,16130,74454,35521,19266,16255,61858,187305,24024,209407,105991,103416,62916,33844,29072,247544,127703,119841,6487,3308,3179,5068,2667,2401,22,10,4,4997,2622,2375,5044,22,4973,13003,4895,2428,2460,15830,7719,6943,1944,3463,2506,2639,35371,11148,23354,2094,7470,1759,6686,4207,220069,4450,2149,2301,753,361,364,663,260,386,10582,5329,5253,12544,6369,6175,405,130,235,5389,3668,1721,7278,4729,2549,12503,7365,5138,27815,15242,12573,6921,2976,3945,58343,28880,29463,90858,46357,44501,136858,57470,79388,87545,58767,28778,133682,56554,77128,3176,916,2260,72507,200619,125089,20019,445,1474,50663,473,2157,2141,79285,112882,32502,200784,22113,800,49256,74749,27058,47691,272804,92234,180570,79928,74765,79678,74515,74692,74749,3997,1166,272804,74192,480,28108,46577,5620,14132,54932,74645,8,74420,74180,233,62796,16510,74520,13,74603,55,74318,0,74515,48095,273,67199,56038,40214,24522,5272,8172,57819,71494,30471,45150,65158,46944,18353,12355,9251,1589,3829,24451,497
N-1.3,90527,47786,42741,2354,1182,1172,88168,46601,41567,86233,45655,40578,79239,42257,36982,75896,40558,35338,72492,38851,33641,2926,1420,1506,6003,2924,3079,7446,3699,3747,3343,1699,1644,3404,1707,1697,8654,4287,4367,23430,17877,10313,7561,14626,63505,12389,77476,40317,37157,12580,7230,5350,83181,44113,39068,2820,1444,1376,793,398,393,0,0,0,780,393,385,788,0,775,1774,1776,856,918,5405,2799,2180,658,1407,961,968,11096,4193,6753,646,2938,710,2445,1628,73112,707,325,378,361,146,199,220,97,103,2900,1483,1417,4344,2170,2174,85,28,41,677,477,197,805,568,234,2226,1407,817,6376,4004,2372,1816,836,980,12080,6174,5903,49784,25880,23904,50215,23031,27184,28863,19142,9721,49026,22578,26448,1189,451,735,21713,68749,42781,14392,127,489,9601,257,2194,525,30659,35438,13096,70454,7260,519,12135,27585,11408,16173,90501,35660,54841,30122,27588,29104,26570,27565,27585,2047,487,90501,27454,84,8545,19016,990,3147,23416,27550,4,27544,27101,0,22657,16743,27530,0,27546,3,27523,0,27526,13685,33,26233,23002,19282,13159,2185,6642,21384,26721,16933,19277,25291,21109,13209,9599,5841,413,780,5318,95
N-1.4,91678,47987,43691,2201,1102,1095,89464,46876,42588,87704,46003,41701,81405,42883,38522,78536,41474,37062,75373,39984,35389,2641,1317,1322,5418,2673,2742,6552,3215,3335,2867,1408,1459,3163,1486,1670,10113,4726,5387,23525,19140,11117,8023,13131,64839,13697,72031,37368,34663,18630,10121,8509,82186,43273,38913,5060,2518,2542,1200,644,544,3,3,0,1184,634,539,1193,3,1177,2286,2446,1290,1156,5235,2713,2221,532,1196,911,863,11198,3894,7059,543,2647,609,2266,1324,74569,643,325,312,221,106,97,138,54,65,2701,1287,1407,5951,2671,3279,39,8,15,651,464,176,862,602,248,1879,1229,644,5087,3219,1866,1488,658,826,10727,5668,5059,56160,28749,27411,50239,23022,27217,31009,19795,11214,49048,22555,26493,1190,463,722,22362,69208,49189,11670,51,664,5154,116,3603,546,33158,35802,12390,71022,6556,474,13421,30010,12102,17908,91359,34009,57350,34407,30039,33841,29473,29960,30010,3006,1361,91359,29860,87,7463,22491,1000,2610,26337,29947,0,29877,29545,70,23699,19391,29873,0,29908,39,29826,0,29872,13458,59,28808,25660,21985,15980,2358,5729,23760,28826,20621,22477,27817,24498,16962,11856,6976,517,624,4461,96
N-1.5,199500,104473,95013,5996,2924,3072,193477,101543,91934,188723,99194,89529,171238,90708,80530,163142,86755,76387,154472,82475,71997,7307,3593,3714,14932,7242,7690,18259,8887,9372,8096,3953,4143,8670,4280,4390,21501,10685,10816,52240,34233,19360,14873,36331,139477,23665,166676,86128,80548,32126,18006,14120,182983,96255,86728,5338,2781,2557,1580,842,735,0,0,0,1552,827,722,1571,0,1543,3707,3575,1810,1765,11963,6310,4927,1460,2853,2083,2108,23680,8436,14489,1357,5711,1263,5197,3286,162192,1960,972,988,714,321,378,542,229,292,7060,3571,3489,9804,5035,4769,245,83,133,2390,1673,714,3077,2061,1012,6829,4314,2513,17248,10122,7126,4161,1814,2347,35811,18322,17489,90229,46823,43406,106210,47661,58549,64685,42888,21797,103604,46688,56916,2606,973,1633,54518,144800,89872,23096,377,1018,28809,296,2383,1047,66141,76728,28240,154496,16188,692,27794,56889,23028,33861,199370,76560,122810,61213,56910,59286,54983,56829,56889,3355,948,199370,56618,185,19250,37563,2423,8142,46246,56788,8,56711,55894,88,49493,38951,56700,10,56791,6,56668,0,56697,32763,93,52894,46274,34192,22279,4402,15505,43467,55101,28966,35230,51397,39956,21873,13897,9533,797,1958,14453,173
N-1.6,154860,81409,73451,4943,2397,2546,149883,78996,70887,146049,77091,68958,132035,70135,61900,125608,66925,58683,119041,63680,55361,5848,2883,2965,12000,5978,6022,14633,7264,7369,6427,3210,3217,6567,3245,3322,16622,8218,8404,40852,26161,15079,11082,29218,107527,18081,127698,66204,61494,26401,14838,11563,140436,74206,66230,5141,2683,2458,2315,1211,1096,5,3,0,2282,1192,1082,2297,5,2264,5102,2778,1410,1366,9144,4572,3892,1153,2045,1544,1615,19909,6869,12727,1197,4674,1172,4004,2484,124482,1761,847,912,711,335,364,449,213,224,5299,2644,2655,7309,3683,3626,180,66,85,1937,1364,566,2332,1586,746,5043,3145,1898,13183,7744,5439,3429,1509,1920,27803,14374,13429,69296,35896,33400,82712,37371,45341,48982,32581,16401,80818,36701,44117,1894,670,1224,42193,112471,71139,18706,234,730,20031,375,2041,895,49829,60293,21792,120634,11574,652,21695,44537,17750,26787,154557,58337,96220,48454,44555,46411,42512,44454,44537,3152,746,154557,44247,162,14071,30365,2233,6009,36188,44405,4,44386,44207,34,37809,14222,44329,13,44391,24,44325,0,44291,27230,120,41305,35770,27489,15993,3084,7922,33741,42496,22946,28650,39775,31331,21882,11314,7591,942,1941,11171,275
N-1.7,70755,38036,32719,1562,798,764,69167,37224,31943,67849,36549,31300,63116,34201,28915,60922,33082,27840,58538,31854,26684,1981,1015,966,4070,2008,2062,5004,2500,2504,2194,1119,1075,2384,1228,1156,6402,3149,3253,17745,16511,9814,6697,9807,49184,11738,57440,30329,27111,12576,7349,5227,64258,34699,29559,3264,1703,1561,636,341,295,0,0,0,631,336,295,633,0,628,1225,1327,681,646,4455,2438,1727,445,1167,785,731,9612,3413,5744,372,2479,410,2026,1084,56114,459,235,221,233,96,115,137,62,57,2060,1065,995,3635,1773,1862,24,0,14,380,261,104,503,346,154,1229,822,405,3668,2342,1326,972,471,501,7571,4137,3434,44906,23623,21283,39337,18460,20877,23640,15695,7945,38312,18068,20244,1025,392,633,18560,52107,36165,9958,70,560,4000,79,2348,438,25519,27062,10504,55025,5357,455,9785,23287,10096,13191,70202,28664,41538,26572,23333,25960,22721,23247,23287,2456,783,70202,23200,20,6395,16841,489,1590,21156,23231,0,23227,23188,3,22515,16828,23225,0,23225,0,23214,0,23216,10920,9,22523,19697,17387,11844,1506,4386,18856,22550,15809,17600,21617,18839,12590,9392,5257,280,373,3547,35
N-1.8,117753,61868,55885,3094,1567,1527,114591,60266,54325,112081,59038,53043,102950,54484,48466,98633,52285,46348,94001,50033,43968,3800,1870,1930,7841,3912,3929,9620,4861,4759,4317,2199,2118,4632,2252,2380,13461,6358,7103,31052,22178,12822,9356,19052,83296,15337,91610,47567,44043,25272,13868,11404,106007,56077,49930,5736,2830,2906,1293,687,603,0,0,0,1281,682,596,1290,0,1278,2902,2451,1196,1253,6495,3374,2661,847,1464,1227,1164,14788,5037,9473,770,3456,741,2991,1833,95479,1025,474,542,288,134,133,198,70,103,3936,1937,1999,7825,3693,4132,80,26,28,1349,1002,335,1716,1219,482,2904,1868,1033,8272,5128,3144,2027,923,1100,16737,8592,8145,63798,32680,31118,62092,28175,33917,40719,26237,14482,60512,27574,32938,1580,601,979,27577,90071,62019,15624,313,1268,9190,248,2971,679,41390,46267,15270,90081,8597,526,18391,36695,14963,21732,117223,44624,72599,40345,36704,39929,36288,36647,36695,2589,1052,117223,36555,57,9954,26672,1131,3340,32144,36614,5,36601,36528,12,30918,20243,36564,4,36600,16,36577,0,36561,18444,77,34970,31032,25508,17383,2348,6733,28767,35177,22907,25768,33740,28528,18186,12739,7869,680,1000,6756,126
N-2.1,112212,58834,53378,2962,1428,1534,109222,57393,51829,106921,56247,50674,98202,51924,46278,94001,49882,44119,89621,47738,41883,3511,1723,1788,7509,3746,3763,9357,4596,4761,4201,2042,2159,4380,2144,2236,11388,5511,5877,29219,21635,12550,9085,18183,78893,15108,94097,48631,45466,17122,9721,7401,103099,54260,48839,3363,1781,1582,1280,679,599,9,5,3,1264,670,592,1269,9,1253,2891,2275,1185,1090,6963,3609,2901,826,1629,1236,1175,15136,5262,9030,828,3662,791,3255,1877,89186,746,343,388,273,132,126,254,103,137,3615,1813,1802,5431,2653,2778,126,38,71,1212,837,367,1623,1070,551,3004,1907,1097,8128,4724,3404,2368,1049,1313,16580,8466,8114,59493,31031,28462,63182,29016,34166,34851,22836,12015,61646,28433,33213,1536,583,953,31388,80721,50688,14815,69,837,11844,489,3176,610,37970,43829,16338,86221,8613,706,16486,32692,13700,18992,111525,44282,67243,35663,32701,34431,31469,32621,32692,2164,798,111525,32508,78,9111,23486,1491,3458,27644,32580,6,32559,32411,29,28325,22473,32550,3,32578,8,32535,0,32550,16242,57,31123,27446,22814,15481,2588,7810,25906,31596,20827,23673,30113,25791,16548,12102,7209,431,733,5681,97
N-2.2,172031,90415,81616,5183,2552,2631,166812,87844,78968,162763,85819,76944,147965,78469,69496,141216,75150,66066,134247,71773,62474,6146,3057,3089,12701,6318,6383,15369,7625,7744,6749,3319,3430,6969,3377,3592,18018,9062,8956,47129,27450,15853,11597,30779,122708,18508,138451,71683,66768,32461,18176,14285,153641,81141,72500,8504,4417,4087,1748,906,838,0,0,0,1719,887,828,1737,0,1708,4048,2996,1477,1519,10234,5078,4418,1125,2370,1656,1688,22545,7307,14539,1032,5067,895,4495,2584,137948,1527,755,772,428,205,209,303,111,173,5943,2933,3010,8833,4578,4255,150,48,64,1384,998,384,1931,1340,591,4322,2785,1537,11891,7207,4684,3166,1417,1749,24537,12426,12111,90431,47216,43215,95228,43554,51674,52453,34797,17656,92923,42706,50217,2305,848,1457,46317,125503,77408,26989,368,957,17275,442,3428,1389,56199,68858,22763,129438,13962,789,27535,51789,20949,30840,171902,66286,105616,57920,51792,55120,48992,51736,51789,4755,1373,171902,51618,90,13673,38055,1749,4937,45039,51714,0,51691,51150,14,45049,40825,51662,4,51701,3,51654,0,51638,26421,37,49230,43336,34751,24036,3759,10567,40097,50267,32317,35545,48226,40296,23322,18241,11976,703,1047,9278,110
N-2.3,120452,63094,57358,3380,1649,1731,116956,61385,55571,114367,60147,54220,104517,55301,49216,99988,53016,46972,95153,50684,44469,3866,1845,2021,8571,4238,4333,10305,5154,5151,4528,2284,2244,4834,2332,2502,12810,6362,6446,31703,21821,12545,9276,20350,84530,15458,102172,52833,49339,17697,9965,7732,110875,58365,52510,3241,1668,1571,1383,697,682,5,0,4,1361,686,671,1376,5,1354,3121,1668,836,829,7249,3776,2909,802,1788,1196,1204,16630,6077,10137,799,4108,831,3536,1992,95576,863,381,476,371,157,184,229,92,97,3963,1953,2010,5913,2978,2935,95,32,33,1283,900,382,1822,1221,599,3820,2440,1380,10360,6104,4256,2647,1198,1449,20660,10403,10257,57438,29788,27650,66505,30381,36124,37822,24827,12993,64836,29761,35075,1669,616,1047,32409,87854,55366,15601,56,814,14169,745,1959,681,40599,46229,17629,91716,9861,440,18183,33239,13678,19557,120378,47449,72929,36592,33247,35571,32226,33187,33239,2591,750,120378,33023,76,9093,24028,1575,3777,27761,33102,6,33102,33003,7,25975,18044,33070,0,33108,0,33074,0,33060,18509,29,31361,27197,21881,13780,2304,8583,26139,32155,19230,23078,30368,24952,14100,9955,6422,424,879,6804,78
N-3.1,69227,36358,32869,2140,1022,1118,66975,35280,31695,65329,34457,30872,59105,31379,27726,56270,29940,26330,53356,28490,24866,2562,1268,1294,5308,2633,2675,6451,3234,3217,2835,1439,1396,2914,1450,1464,7576,3748,3828,18466,11185,6386,4799,12845,48730,7540,56202,29066,27136,12663,7104,5559,63199,33385,29814,2024,1035,989,858,447,411,8,5,3,835,435,400,844,3,826,1867,1063,553,505,4267,2174,1798,509,986,656,736,9015,2932,5930,464,2013,483,1729,1189,55293,657,309,348,332,163,162,207,87,113,2353,1214,1139,3328,1677,1651,106,41,48,827,554,272,1043,693,349,2346,1453,893,5749,3456,2293,1646,767,879,11218,5780,5438,32356,16685,15671,37257,16929,20328,21754,14407,7347,36408,16620,19788,849,309,540,19019,50064,28521,9412,98,508,10682,125,981,473,22415,26723,9944,53522,5408,256,9865,20085,8429,11656,69221,27650,41571,22442,20085,22321,19964,20058,20085,1636,721,69221,19947,69,6088,13935,999,2871,16152,20018,0,20015,19984,0,17819,14750,19979,0,20007,5,19996,0,19977,11837,37,18698,16294,12271,7654,1385,4843,15402,19287,11012,13108,18177,14636,7558,5484,3394,342,719,4415,80
